names,cats,desc
Old Peter’s Russian Tales,Age 6+,"Old Peter's Russian Tales is a collection of Russian folk-tales retold/collected by Ransome, originally published in 1916. The book not only offers up some short an dengaging slices o magical fantasy, but is also an intriguing insight in to the myths and folklore of Russian culture.  
Perfect for those childre"
"A Shame to Miss: 1, 2 and 3",Age 7+,"Former Children's Laureate Anne Fine has selected some marvellous poems, both classic and contemporary, for inclusion in her trio of poetry anthologies, A Shame to Miss 1, 2 and 3. She has added brief comments about what the poems mean to her and how we might understand them better.
Volumes 1 and 2 are aimed at junior readers, while "
Through the Magic Mirror,Age 6+,"Toby is fed up and doesn't feel like doing anything. So imagine his amazement when a whole new world opens right in front of his eyes…

Step through the magic mirror with Toby into a surreal and topsy-turvy world where the laws of nature seem to be turned on their head. Mice chase the cats, and dogs walk the men – the same old street certainly doesn’t seem boring anymore!

This is a book to savour from one of the world’s most acclaimed children’s authors and illustrators. Look out for the added humour and d"
Captain Pugwash and the Mutiny,Age 4+,"Two great stories featuring the crew of the Black Pig, from cowardly Captain Pugwash to young cabin boy Tom. Pugwash may be the Captain, but everyone else knows it’s really Tom who is in charge.
In the first story, find out how resourceful Tom uses bacon and eggs to avert disaster when a mutiny goes wrong. In the second, a fancy dress ball brings some unwelcome guests to the ship, and it takes another cunning plan from Tom to save the day.
Prepare your best pirate voice and enjoy reading these funny, exciting stories aloud. John Ryan’s humorous illustrations really bring the book to life "
The Cat Mummy,Age 8+,"Mabel the cat is very special. She used to belong to Verity's mother, who died when Verity was born. One day Mabel goes missing; Verity searches for her but discovers that the cat has curled up and died at the bottom of her wardrobe.
After she learns at school that the Ancient Egyptians worshipped cats, she decides to mummify Mabel - however, a combination of Verity's odd behaviour, and an increasingly unpleasant smell emanating from her room, begins to arouse the suspicions of Gran, and Verity is very worried that she will not be able to keep her Cat Mummy secret for much longer.
As well as focusing on the trauma of a family pet dying, Wilson also examines the fact that the family never really came to terms with the death of Verity's mother. A deceptively simple tale which explores the issue "
Lizzie Zipmouth,Age 6+,"Although Lizzie is moving into a new home, with a new stepdad and two step-brothers, she wishes things could have stayed the same - just her and her mum together in a flat, before her new stepdad came along.
So she decides that the best way to deal with the situation is to stop speaking. Despite the family's best efforts to get her to say something, Lizzie remains resolutely silent, that is until she meets Great Gran, in whom she finds an unexpected soulmate.
This is a poignant and often funny book, which looks at ways of coping with a new step-family. The friendship between Lizzie and 'Great Gran' is also touchingly portrayed."
Hansel and Gretel,Age 6+,"Resenting the love a father has for his children, a witch creates a famine and forces him into losing his own children in the forest before she disposes of him too.
When Gretel pushes the witch into the oven all her evil spells are broken, the famine departs and the children return home to find their parents alive and well.
This version is richer for the addition of the themes of manipulation, hope and love. The illustrations, both the bright and the bro"
The Hundred-Mile-An-Hour Dog,Age 6-9,"Trevor’s mother offers him £30 if he’ll walk the dog every day for summer. It sounds easy enough, but the dog - Streaker - has other ideas. A humorous, well-illustrated, award-winning tale of roller skates, mobile phones, an exercise bi"
Vicky Angel,Age 8+,"Jade is devastated when her best friend is killed by a car and wonders how she will manage without her. She is initially thrilled when Vicky’s ghost appears to her, but the 'angel' is determined to be in control and Jade gradually realises just how manipulative her friend was when she was alive.
A moving novel about guilt and bereavement, w"
Puss in Boots,Age 5+,"This pocket-sized Ladybird edition of Puss in Boots is a wonderfully comforting version of the classic fairy tale. This is a great read-aloud book for adults to read to children but also for children, who can read to themselves or retell from the pictures.
Children love the pattern of fairy tales and enjoy the repetition of reading them over and over again. The end papers provide a pre-printed book plate for children to write their name on and also a mini image of the 24 fairy tales in the series to identify and maybe go on to find at school or in the library. Puss in Boots may also be famili"
The Christmas Mouse,Age 6+,"It is Christmas Eve and wealthy Ben Mouse settles down to sleep in his warm bed in his comfortable mouse hole. He has a candied plum to eat tomorrow - but Christmas is nothing to him. Meanwhile, poor Tim Mouse shivers in his hole and has little to look forward to. But then a strange visitor appears to the sleepless Ben, and shows him how Christmas should be celebrated. By morning, Ben has learned the meaning of Christmas, and invites Tim and the other poor mice to celebrate with him.
This warm festive story is inspired by Dickens' classic story 'A Christmas Carol', and Scrooge and Ben's Christmas Eve adventures are shown in parallel in Ruth Brown's evocative, nostalg"
